episode_id	env_time	success_rate
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	63	0.86
2765dda3-4382-4a06-891d-14156ca894b3	61	0.92
2f548df3-b9d2-47ff-a3e7-3fa662b0e00e	68	0.74
8a4a8e3e-36d7-4e55-83bf-fc8cd4b9f9d8	73	0.58
ec716f73-b22a-4fae-833a-7f58eed3968d	80	0.74
521a9180-4202-4656-84a4-603cbed8d435	100	0.48
9c036584-9ba2-4a55-a192-54c241d06187	114	0.58
23de4f61-451b-49b9-ad4a-8e6ef36651e5	114	0.48
fa9766cf-e681-45c3-8181-909fd8e1028e	104	0.8
47ca1212-42db-4981-81df-0e44626bfdfb	117	0.48
73e275ed-9c94-400d-8aca-219a035db8e1	108	0.54
f70202cc-2dec-4080-bfef-7884ab47b1b4	113	0.52
980f7ba5-02ae-4f40-9c4a-7be392c24953	121	0.56
14e38e48-53b3-400a-94ba-a06b1fd2aa18	121	0.54
ba5b1cca-448e-47e4-946d-7f63ef426cbc	129	0.5
968ec1c3-2e37-4937-b6f1-d7bb188a0bb6	133	0.72
9ae034d6-2d63-45da-903b-0d86afaa02f9	140	0.54
f53c1a08-502a-453f-bfa2-eec7e3a1f4af	147	0.62
5df7e753-4701-48d7-8cc6-adf874876841	178	0.66
5cdf6c1d-c02e-409c-b591-2a71efadb4d7	165	0.0
