episode_id	env_time	agent_id	action
olten_partially_closed	0	0	2
olten_partially_closed	0	1	2
olten_partially_closed	0	2	2
olten_partially_closed	0	3	2
olten_partially_closed	0	4	2
olten_partially_closed	0	5	2
olten_partially_closed	0	6	2
olten_partially_closed	0	7	2
olten_partially_closed	0	8	2
olten_partially_closed	0	9	2
olten_partially_closed	0	10	2
olten_partially_closed	0	11	2
olten_partially_closed	0	12	2
olten_partially_closed	0	13	2
olten_partially_closed	0	14	2
olten_partially_closed	0	15	2
olten_partially_closed	0	16	2
olten_partially_closed	0	17	2
olten_partially_closed	0	18	2
olten_partially_closed	0	19	2
olten_partially_closed	0	20	2
olten_partially_closed	0	21	2
olten_partially_closed	0	22	2
olten_partially_closed	0	23	2
olten_partially_closed	0	24	2
olten_partially_closed	0	25	2
olten_partially_closed	0	26	2
olten_partially_closed	0	27	2
olten_partially_closed	0	28	2
olten_partially_closed	0	29	2
olten_partially_closed	0	30	2
olten_partially_closed	0	31	2
olten_partially_closed	0	32	2
olten_partially_closed	0	33	2
olten_partially_closed	0	34	2
olten_partially_closed	0	35	2
olten_partially_closed	0	36	2
olten_partially_closed	0	37	2
olten_partially_closed	0	38	2
olten_partially_closed	0	39	2
olten_partially_closed	0	40	2
olten_partially_closed	0	41	2
olten_partially_closed	0	42	2
olten_partially_closed	0	43	2
olten_partially_closed	0	44	2
olten_partially_closed	0	45	2
olten_partially_closed	0	46	2
olten_partially_closed	0	47	2
olten_partially_closed	0	48	2
olten_partially_closed	0	49	2
olten_partially_closed	0	50	2
olten_partially_closed	0	51	2
olten_partially_closed	1	0	2
olten_partially_closed	1	1	2
olten_partially_closed	1	2	2
olten_partially_closed	1	3	2
olten_partially_closed	1	4	2
olten_partially_closed	1	5	2
olten_partially_closed	1	6	2
olten_partially_closed	1	7	2
olten_partially_closed	1	8	2
olten_partially_closed	1	9	2
olten_partially_closed	1	10	2
olten_partially_closed	1	11	2
olten_partially_closed	1	12	2
olten_partially_closed	1	13	2
olten_partially_closed	1	14	2
olten_partially_closed	1	15	2
olten_partially_closed	1	16	2
olten_partially_closed	1	17	2
olten_partially_closed	1	18	2
olten_partially_closed	1	19	2
olten_partially_closed	1	20	2
olten_partially_closed	1	21	2
olten_partially_closed	1	22	2
olten_partially_closed	1	23	2
olten_partially_closed	1	24	2
olten_partially_closed	1	25	2
