episode_id	env_time	agent_id	action
olten_disrupted	0	0	2
olten_disrupted	0	1	2
olten_disrupted	0	2	2
olten_disrupted	0	3	2
olten_disrupted	0	4	2
olten_disrupted	0	5	2
olten_disrupted	0	6	2
olten_disrupted	0	7	2
olten_disrupted	0	8	2
olten_disrupted	0	9	2
olten_disrupted	0	10	2
olten_disrupted	0	11	2
olten_disrupted	0	12	2
olten_disrupted	0	13	2
olten_disrupted	0	14	2
olten_disrupted	0	15	2
olten_disrupted	0	16	2
olten_disrupted	0	17	2
olten_disrupted	0	18	2
olten_disrupted	0	19	2
olten_disrupted	0	20	2
olten_disrupted	0	21	2
olten_disrupted	0	22	2
olten_disrupted	0	23	2
olten_disrupted	0	24	2
olten_disrupted	0	25	2
olten_disrupted	0	26	2
olten_disrupted	0	27	2
olten_disrupted	0	28	2
olten_disrupted	0	29	2
olten_disrupted	0	30	2
olten_disrupted	0	31	2
olten_disrupted	0	32	2
olten_disrupted	0	33	2
olten_disrupted	0	34	2
olten_disrupted	0	35	2
olten_disrupted	0	36	2
olten_disrupted	0	37	2
olten_disrupted	0	38	2
olten_disrupted	0	39	2
olten_disrupted	0	40	2
olten_disrupted	0	41	2
olten_disrupted	0	42	2
olten_disrupted	0	43	2
olten_disrupted	0	44	2
olten_disrupted	0	45	2
olten_disrupted	0	46	2
olten_disrupted	0	47	2
olten_disrupted	0	48	2
olten_disrupted	0	49	2
olten_disrupted	0	50	2
olten_disrupted	0	51	2
olten_disrupted	1	0	2
olten_disrupted	1	1	2
olten_disrupted	1	2	2
olten_disrupted	1	3	2
olten_disrupted	1	4	2
olten_disrupted	1	5	2
olten_disrupted	1	6	2
olten_disrupted	1	7	2
olten_disrupted	1	8	2
olten_disrupted	1	9	2
olten_disrupted	1	10	2
olten_disrupted	1	11	2
olten_disrupted	1	12	2
olten_disrupted	1	13	2
olten_disrupted	1	14	2
olten_disrupted	1	15	2
olten_disrupted	1	16	2
olten_disrupted	1	17	2
olten_disrupted	1	18	2
olten_disrupted	1	19	2
olten_disrupted	1	20	2
olten_disrupted	1	21	2
olten_disrupted	1	22	2
olten_disrupted	1	23	2
olten_disrupted	1	24	2
olten_disrupted	1	25	2
olten_disrupted	1	26	2
olten_disrupted	1	27	2
olten_disrupted	1	28	2
olten_disrupted	1	29	2
olten_disrupted	1	30	2
olten_disrupted	1	31	2
olten_disrupted	1	32	2
olten_disrupted	1	33	2
olten_disrupted	1	34	2
olten_disrupted	1	35	2
olten_disrupted	1	36	2
olten_disrupted	1	37	2
olten_disrupted	1	38	2
olten_disrupted	1	39	2
olten_disrupted	1	40	2
olten_disrupted	1	41	2
olten_disrupted	1	42	2
olten_disrupted	1	43	2
olten_disrupted	1	44	2
olten_disrupted	1	45	2
olten_disrupted	1	46	2
olten_disrupted	1	47	2
olten_disrupted	1	48	2
olten_disrupted	1	49	2
olten_disrupted	1	50	2
olten_disrupted	1	51	2
olten_disrupted	2	0	2
olten_disrupted	2	1	2
olten_disrupted	2	2	2
olten_disrupted	2	3	2
olten_disrupted	2	4	2
olten_disrupted	2	5	2
olten_disrupted	2	6	2
olten_disrupted	2	7	2
